,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
12,Netherlands,17851,"+1,224",1766.0,+115,250.0,15835,1385.0,1042.0,103.0,75415.0,4401.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
13,Canada,15512,"+1,600",280.0,+49,2942.0,12290,426.0,411.0,7.0,330901.0,8767.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
14,Austria,12051,+270,204.0,+18,2998.0,8849,244.0,1338.0,23.0,108416.0,12038.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
15,Portugal,11278,+754,295.0,+29,75.0,10908,267.0,1106.0,29.0,86370.0,8470.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
16,Brazil,11254,+894,486.0,+41,127.0,10641,296.0,53.0,2.0,54824.0,258.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
17,S. Korea,10237,+81,183.0,+6,6463.0,3591,55.0,200.0,4.0,461233.0,8996.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
18,Israel,8430,+579,49.0,+5,477.0,7904,139.0,974.0,6.0,109724.0,12677.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
19,Sweden,6830,+387,401.0,+28,205.0,6224,541.0,676.0,40.0,36900.0,3654.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
20,Australia,5750,+200,37.0,+7,2315.0,3398,91.0,225.0,1.0,297154.0,11653.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
21,Norway,5687,+137,71.0,+9,32.0,5584,89.0,1049.0,13.0,105865.0,19528.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
22,Russia,5389,+658,45.0,+2,355.0,4989,8.0,37.0,0.3,697000.0,4776.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
23,Ireland,4994,+390,158.0,+21,25.0,4811,165.0,1011.0,32.0,30213.0,6119.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
24,Czechia,4587,+115,67.0,+8,96.0,4424,86.0,428.0,6.0,80304.0,7499.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
25,Chile,4471,+310,34.0,+7,618.0,3819,307.0,234.0,2.0,51956.0,2718.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
26,Denmark,4369,+292,179.0,+18,1327.0,2863,142.0,754.0,31.0,49249.0,8503.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
27,India,4289,+701,118.0,+19,328.0,3843,,3.0,0.09,128320.0,93.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
28,Poland,4102,+475,94.0,+15,134.0,3874,50.0,108.0,2.0,80757.0,2134.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
29,Romania,3864,+251,151.0,+5,374.0,3339,141.0,201.0,8.0,38623.0,2008.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
30,Malaysia,3662,+179,61.0,+4,1005.0,2596,99.0,113.0,2.0,51937.0,1605.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
31,Japan,3654,+515,85.0,+8,575.0,2994,69.0,29.0,0.7,44639.0,353.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
32,Ecuador,3646,+181,180.0,+8,100.0,3366,100.0,207.0,10.0,12386.0,702.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
33,Philippines,3246,+152,152.0,+8,64.0,3030,1.0,30.0,1.0,19585.0,179.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
34,Pakistan,3157,+339,47.0,+6,211.0,2899,18.0,14.0,0.2,34885.0,158.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
35,Luxembourg,2804,+75,36.0,+5,500.0,2268,33.0,4479.0,58.0,23687.0,37840.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
36,Saudi Arabia,2402,+223,34.0,+5,488.0,1880,41.0,69.0,1.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
37,Peru,2281,+535,83.0,+10,989.0,1209,81.0,69.0,3.0,19410.0,589.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
38,Indonesia,2273,+181,198.0,+7,164.0,1911,,8.0,0.7,9712.0,36.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
39,Thailand,2169,+102,23.0,+3,793.0,1353,23.0,31.0,0.3,25071.0,359.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
40,Finland,1927,+45,28.0,+3,300.0,1599,73.0,348.0,5.0,31714.0,5724.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
41,Serbia,1908,+284,51.0,+7,54.0,1803,98.0,218.0,6.0,7360.0,842.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
42,Mexico,1890,+202,79.0,+19,633.0,1178,1.0,15.0,0.6,17184.0,133.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
43,Panama,1801,,46.0,,13.0,1742,75.0,417.0,11.0,9256.0,2145.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
44,UAE,1799,+294,10.0,,144.0,1645,1.0,182.0,1.0,220000.0,22244.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
45,Dominican Republic,1745,+167,82.0,+5,17.0,1646,147.0,161.0,8.0,4542.0,419.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
46,Greece,1735,+62,73.0,+5,78.0,1584,93.0,166.0,7.0,25453.0,2442.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
47,South Africa,1655,+70,11.0,+2,95.0,1549,7.0,28.0,0.2,56873.0,959.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
48,Qatar,1604,+279,4.0,+1,123.0,1477,37.0,557.0,1.0,35757.0,12411.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
49,Argentina,1554,+103,46.0,+3,280.0,1228,86.0,34.0,1.0,8488.0,188.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
50,Iceland,1486,+69,4.0,,428.0,1054,11.0,4355.0,12.0,25394.0,74416.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
51,Colombia,1485,+79,35.0,+3,88.0,1362,50.0,29.0,0.7,23706.0,466.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
52,Algeria,1320,+69,152.0,+22,90.0,1078,46.0,30.0,3.0,3359.0,77.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
53,Singapore,1309,+120,6.0,,320.0,983,25.0,224.0,1.0,39000.0,6666.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
54,Ukraine,1308,+83,37.0,+5,28.0,1243,16.0,30.0,0.8,5493.0,126.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
55,Croatia,1182,+56,15.0,+3,125.0,1042,39.0,288.0,4.0,10874.0,2649.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
56,Egypt,1173,+103,78.0,+7,247.0,848,,11.0,0.8,25000.0,244.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
57,Estonia,1097,+58,15.0,+2,62.0,1020,17.0,827.0,11.0,21004.0,15834.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
58,New Zealand,1039,+89,1.0,,156.0,882,3.0,215.0,0.2,36209.0,7509.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
59,Morocco,1021,+102,70.0,+11,76.0,875,1.0,28.0,2.0,4848.0,131.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
60,Slovenia,997,+20,28.0,+6,79.0,890,31.0,480.0,13.0,27764.0,13355.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
61,Iraq,961,+83,61.0,+5,279.0,621,,24.0,2.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
62,Hong Kong,891,+29,4.0,,206.0,681,8.0,119.0,0.5,96709.0,12900.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
63,Moldova,864,+112,15.0,+3,30.0,819,80.0,214.0,4.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
64,Armenia,822,+52,7.0,,57.0,758,30.0,277.0,2.0,4666.0,1575.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
65,Lithuania,811,+40,13.0,+2,7.0,791,11.0,298.0,5.0,23645.0,8686.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
66,Hungary,733,+55,34.0,+2,66.0,633,17.0,76.0,4.0,21250.0,2200.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
67,Diamond Princess,712,,11.0,,619.0,82,10.0,,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
68,Bahrain,700,+12,4.0,,431.0,265,3.0,411.0,2.0,44386.0,26085.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
69,Bosnia and Herzegovina,654,+30,23.0,+2,30.0,601,4.0,199.0,7.0,5934.0,1809.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
70,Cameroon,650,+95,9.0,,17.0,624,,24.0,0.3,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
71,Azerbaijan,584,+63,7.0,+2,32.0,545,17.0,58.0,0.7,40000.0,3945.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
72,Kazakhstan,584,+53,6.0,+1,42.0,536,6.0,31.0,0.3,5093.0,271.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
73,Tunisia,574,+21,22.0,+4,5.0,547,39.0,49.0,2.0,7145.0,605.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
74,Belarus,562,+122,8.0,+3,52.0,502,11.0,59.0,0.8,32000.0,3386.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
75,Kuwait,556,+77,1.0,,99.0,456,17.0,130.0,0.2,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
76,North Macedonia,555,+72,18.0,+1,23.0,514,15.0,266.0,9.0,5291.0,2540.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
77,Latvia,533,+24,1.0,,1.0,531,4.0,283.0,0.5,20680.0,10964.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
78,Bulgaria,531,+28,20.0,+3,37.0,474,22.0,76.0,3.0,15899.0,2288.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
79,Lebanon,527,+7,18.0,+1,54.0,455,28.0,77.0,3.0,9411.0,1379.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
80,Andorra,501,+35,18.0,+1,26.0,457,12.0,6484.0,233.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
81,Slovakia,485,+14,1.0,,8.0,476,3.0,89.0,0.2,15155.0,2776.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
82,Costa Rica,454,+19,2.0,,16.0,436,14.0,89.0,0.4,5098.0,1001.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
83,Cyprus,446,+20,9.0,,37.0,400,11.0,369.0,7.0,10946.0,9066.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
84,Uruguay,406,+6,6.0,+1,104.0,296,14.0,117.0,2.0,5208.0,1499.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
85,Taiwan,363,+8,5.0,,54.0,304,,15.0,0.2,37219.0,1563.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
86,Albania,361,+28,20.0,,104.0,237,7.0,125.0,7.0,2396.0,833.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
87,Afghanistan,349,+40,7.0,,15.0,327,,9.0,0.2,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
88,Burkina Faso,345,+27,17.0,+1,90.0,238,,17.0,0.8,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
89,Jordan,345,+22,5.0,,110.0,230,5.0,34.0,0.5,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
90,Réunion,344,+10,,,40.0,304,4.0,384.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
91,Uzbekistan,342,+76,2.0,,30.0,310,8.0,10.0,0.06,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
92,Cuba,320,+32,8.0,+2,15.0,297,11.0,28.0,0.7,5234.0,462.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
93,Channel Islands,309,+47,6.0,+1,27.0,276,,1777.0,35.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
94,Oman,298,+21,2.0,,61.0,235,3.0,58.0,0.4,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
95,Honduras,268,+4,22.0,+7,6.0,240,10.0,27.0,2.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
96,San Marino,266,+7,32.0,,35.0,199,14.0,7839.0,943.0,586.0,17270.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
97,Ivory Coast,261,+16,3.0,+2,37.0,221,,10.0,0.1,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
98,Vietnam,241,+1,,,90.0,151,3.0,2.0,,88551.0,910.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
99,Palestine,237,+20,1.0,,25.0,211,,46.0,0.2,12738.0,2497.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
100,Nigeria,232,+18,5.0,+1,33.0,194,2.0,1.0,0.02,4000.0,19.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
101,Mauritius,227,+31,7.0,,7.0,213,1.0,178.0,6.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
102,Malta,227,+14,,,5.0,222,3.0,514.0,,10358.0,23459.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
103,Senegal,222,+3,2.0,,82.0,138,1.0,13.0,0.1,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
104,Ghana,214,+9,5.0,,31.0,178,2.0,7.0,0.2,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
105,Montenegro,214,+13,2.0,,1.0,211,4.0,341.0,3.0,1637.0,2606.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
106,Niger,184,+40,10.0,+2,13.0,161,,8.0,0.4,4012.0,166.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
107,Faeroe Islands,181,,,,99.0,82,1.0,3704.0,,4890.0,100076.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
108,Sri Lanka,176,+10,5.0,,33.0,138,5.0,8.0,0.2,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
109,Georgia,174,+12,2.0,+1,36.0,136,6.0,44.0,0.5,2762.0,692.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
110,Venezuela,159,+4,7.0,,52.0,100,6.0,6.0,0.2,1779.0,63.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
111,Bolivia,157,+18,10.0,,2.0,145,3.0,13.0,0.9,591.0,51.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
112,DRC,154,,18.0,,3.0,133,,2.0,0.2,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
113,Martinique,149,+4,4.0,+1,50.0,95,21.0,397.0,11.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
114,Mayotte,147,+13,2.0,,14.0,131,3.0,539.0,7.0,479.0,1756.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
115,Kyrgyzstan,147,+3,1.0,,9.0,137,5.0,23.0,0.2,9618.0,1474.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
116,Kenya,142,+16,4.0,,4.0,134,2.0,3.0,0.07,3836.0,71.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
117,Guadeloupe,135,+1,7.0,,31.0,97,14.0,337.0,17.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
118,Brunei,135,,1.0,,73.0,61,3.0,309.0,2.0,8129.0,18581.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
119,Isle of Man,127,+1,1.0,,,126,,1494.0,12.0,1334.0,15688.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
120,Guinea,121,+10,,,5.0,116,,9.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
121,Cambodia,114,,,,50.0,64,1.0,7.0,,5768.0,345.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
122,Trinidad and Tobago,104,+1,7.0,+1,1.0,96,,74.0,5.0,797.0,569.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
123,Paraguay,104,+8,3.0,,12.0,89,2.0,15.0,0.4,1381.0,194.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
124,Rwanda,104,+2,,,4.0,100,,8.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
125,Gibraltar,103,+5,,,52.0,51,,3057.0,,1345.0,39922.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
126,Bangladesh,88,+18,9.0,+1,33.0,46,1.0,0.5,0.05,2914.0,18.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
127,Liechtenstein,77,,1.0,,,76,,2020.0,26.0,900.0,23605.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
128,Monaco,73,+7,1.0,,3.0,69,4.0,1860.0,25.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
129,Madagascar,72,+2,,,2.0,70,6.0,3.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
130,Guatemala,70,+9,3.0,+1,15.0,52,3.0,4.0,0.2,1134.0,63.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
131,French Guiana,68,+7,,,27.0,41,1.0,228.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
132,Aruba,64,,,,1.0,63,,599.0,,869.0,8139.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
133,El Salvador,62,+6,3.0,,2.0,57,4.0,10.0,0.5,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
134,Djibouti,59,+9,,,9.0,50,,60.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
135,Jamaica,58,+5,3.0,,8.0,47,,20.0,1.0,540.0,182.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
136,Barbados,56,+4,1.0,+1,6.0,49,4.0,195.0,3.0,527.0,1834.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
137,Uganda,52,+4,,,,52,,1.0,,2629.0,57.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
138,Congo,45,+23,5.0,+3,2.0,38,,8.0,0.9,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
139,Mali,45,+4,5.0,+2,1.0,39,,2.0,0.2,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
140,Togo,44,+3,3.0,,20.0,21,,5.0,0.4,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
141,Macao,44,,,,10.0,34,,68.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
142,Ethiopia,43,+5,2.0,+2,4.0,37,1.0,0.4,0.02,1843.0,16.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
143,French Polynesia,41,+1,,,,41,,146.0,,612.0,2179.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
144,Cayman Islands,39,+4,1.0,,1.0,37,,593.0,15.0,365.0,5554.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
145,Zambia,39,,1.0,,3.0,35,,2.0,0.05,619.0,34.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
146,Bermuda,37,,,,14.0,23,,594.0,,298.0,4785.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
147,Saint Martin,32,+8,2.0,,7.0,23,6.0,828.0,52.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
148,Bahamas,29,+1,5.0,+1,4.0,20,1.0,74.0,13.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
149,Eritrea,29,,,,,29,,8.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
150,Sint Maarten,25,+2,4.0,,1.0,20,,583.0,93.0,82.0,1912.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
151,Guyana,24,+1,4.0,,,20,,31.0,5.0,93.0,118.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
152,Tanzania,22,+2,1.0,,3.0,18,,0.4,0.02,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
153,Benin,22,+6,,,5.0,17,,2.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
154,Gabon,21,,1.0,,1.0,19,,9.0,0.4,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
155,Haiti,21,+1,1.0,+1,1.0,19,,2.0,0.09,247.0,22.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
156,Myanmar,21,,1.0,,,20,,0.4,0.02,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
157,Syria,19,+3,2.0,,2.0,15,,1.0,0.1,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
158,Maldives,19,,,,13.0,6,,35.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
159,Libya,18,,1.0,,,17,,3.0,0.1,294.0,43.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
160,Guinea-Bissau,18,,,,,18,,9.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
161,New Caledonia,18,+1,,,1.0,17,,63.0,,1983.0,6946.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
162,Equatorial Guinea,16,,,,1.0,15,,11.0,,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
163,Namibia,16,+2,,,3.0,13,,6.0,,301.0,118.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
164,Antigua and Barbuda,15,,,,,15,1.0,153.0,,40.0,408.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
