,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
108,Georgia,162,+7,1.0,+1,36.0,125,6.0,41.0,0.3,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
109,Venezuela,155,+2,7.0,,52.0,96,6.0,5.0,0.2,1779.0,63.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
110,DRC,154,+6,18.0,+2,3.0,133,,2.0,0.2,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
111,Martinique,145,+2,3.0,,27.0,115,22.0,386.0,8.0,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
112,Niger,144,+24,8.0,+3,,136,,6.0,0.3,4012.0,166.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
113,Kyrgyzstan,144,+14,1.0,,9.0,134,5.0,22.0,0.2,9618.0,1474.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
114,Bolivia,139,+7,10.0,+1,1.0,128,3.0,12.0,0.9,591.0,51.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
115,Brunei,135,+1,1.0,,66.0,68,3.0,309.0,2.0,7801.0,17832.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
116,Guadeloupe,134,+4,7.0,,24.0,103,14.0,335.0,17.0,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
117,Mayotte,134,+6,2.0,,14.0,118,3.0,491.0,7.0,479.0,1756.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
118,Kenya,126,+4,4.0,,4.0,118,2.0,2.0,0.07,2201.0,41.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
119,Isle of Man,126,+12,1.0,,,125,,1482.0,12.0,1319.0,15512.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
120,Cambodia,114,,,,50.0,64,1.0,7.0,,5768.0,345.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
121,Guinea,111,+38,,,5.0,106,,8.0,,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
122,Trinidad and Tobago,103,+5,6.0,,1.0,96,,74.0,4.0,736.0,526.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
