,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
156,Antigua and Barbuda,7,+4,,,,7,,71.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
157,Grenada,7,+6,,,,7,,62.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
158,Mozambique,7,+2,,,,7,,0.2,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
159,Seychelles,7,,,,,7,,71.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
160,Benin,6,,,,,6,,0.5,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
161,Eritrea,6,+2,,,,6,,2.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
162,Greenland,6,,,,2.0,4,,106.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
163,Laos,6,+3,,,,6,,0.8,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
164,Eswatini,6,+2,,,,6,,5.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
165,Cabo Verde,5,+1,1.0,,,4,,9.0,2.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
166,Guyana,5,,1.0,,,4,,6.0,1.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
167,Fiji,5,,,,,5,,6.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
168,Montserrat,5,+4,,,,5,,1002.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
169,Myanmar,5,+2,,,,5,,0.09,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
170,Syria,5,,,,,5,,0.3,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
171,Angola,4,+1,,,,4,,0.1,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
172,Congo,4,,,,,4,,0.7,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
173,Guinea,4,,,,,4,,0.3,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
174,Vatican City,4,,,,,4,,4994.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
175,Mali,4,+2,,,,4,,0.2,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
176,Gambia,3,,1.0,,,2,,1.0,0.4,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
177,Sudan,3,,1.0,,,2,,0.07,0.02,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
178,Zimbabwe,3,,1.0,,,2,,0.2,0.07,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
179,Nepal,3,,,,1.0,2,,0.1,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
180,CAR,3,,,,,3,,0.6,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
181,Chad,3,,,,,3,,0.2,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
182,Liberia,3,,,,,3,,0.6,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
183,Mauritania,3,+1,,,,3,,0.6,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
184,St. Barth,3,,,,,3,,304.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
185,Saint Lucia,3,,,,1.0,2,,16.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
186,Sint Maarten,3,,,,,3,,70.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
187,Anguilla,2,+2,,,,2,,133.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
188,Belize,2,,,,,2,,5.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
189,Bhutan,2,,,,,2,,3.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
190,British Virgin Islands,2,,,,,2,,66.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
191,Guinea-Bissau,2,,,,,2,,1.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
192,Nicaragua,2,,,,,2,,0.3,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
193,Saint Kitts and Nevis,2,,,,,2,,38.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
194,Somalia,2,+1,,,,2,,0.1,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
195,Turks and Caicos,2,+1,,,,2,,52.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
196,Libya,1,,,,,1,,0.1,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
197,Papua New Guinea,1,,,,,1,,0.1,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
198,St. Vincent Grenadines,1,,,,,1,,9.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
199,Timor-Leste,1,,,,,1,,0.8,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
200,Total:,531865,60830,24073.0,2791.0,123942.0,383850,19357.0,68.2,3.1,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
