,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
28,Israel,10,3.0,,,9,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
29,Lebanon,10,3.0,,,10,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
30,Netherlands,10,3.0,,,10,,1.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
31,Croatia,7,1.0,,,7,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
32,Greece,7,,,,7,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
33,Ecuador,6,5.0,,,6,,1.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
34,Finland,6,3.0,,,5,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
35,Oman,6,,,,5,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
36,Mexico,5,1.0,,,5,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
37,Denmark,4,1.0,,,4,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
38,Pakistan,4,,,,4,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
39,Philippines,3,,1.0,,0,2.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
40,Azerbaijan,3,,,,3,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
41,Czechia,3,3.0,,,3,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
42,Georgia,3,,,,3,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
43,Iceland,3,2.0,,,3,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
44,India,3,,,,0,3.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
45,Qatar,3,2.0,,,3,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
46,Romania,3,,,,2,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
47,Algeria,2,1.0,,,2,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
48,Belgium,2,1.0,,,1,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
49,Brazil,2,,,,2,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
50,Egypt,2,1.0,,,1,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
51,Russia,2,,,,0,2.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
52,Afghanistan,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
53,Armenia,1,1.0,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
54,Belarus,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
55,Cambodia,1,,,,0,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
56,Dominican Republic,1,1.0,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
57,Estonia,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
58,Ireland,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
59,Lithuania,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
60,Luxembourg,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
61,North Macedonia,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
62,Monaco,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
63,Nepal,1,,,,0,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
64,New Zealand,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
65,Nigeria,1,,,,1,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
66,San Marino,1,,,,1,,1.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
67,Sri Lanka,1,,,,0,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
68,Total:,88377,1764.0,3008.0,31.0,42619,42750.0,7608.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
