,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
54,Slovenia,8,+2,,,8,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
55,Azerbaijan,6,,,,6,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
56,Belarus,6,,,,6,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
57,Mexico,6,,,,5,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
58,Pakistan,6,+1,,,5,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
59,Philippines,5,+2,1.0,,2,2.0,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
60,Saudi Arabia,5,,,,4,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
61,Chile,5,+1,,,5,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
62,Poland,5,+4,,,5,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
63,Indonesia,4,+2,,,4,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
64,New Zealand,4,,,,4,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
65,Senegal,4,,,,4,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
66,Hungary,4,,,,4,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
67,Luxembourg,3,+1,,,3,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
68,North Macedonia,3,+2,,,3,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
69,Bosnia and Herzegovina,3,+1,,,3,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
70,Dominican Republic,2,+1,,,2,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
71,Morocco,2,,,,2,,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
72,Cameroon,2,+2,,,2,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
73,Afghanistan,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
74,Andorra,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
75,Armenia,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
76,Cambodia,1,,,,0,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
77,Jordan,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
78,Latvia,1,,,,0,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
79,Lithuania,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
80,Monaco,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
81,Nepal,1,,,,0,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
82,Nigeria,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
83,Sri Lanka,1,,,,0,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
84,Tunisia,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
85,Ukraine,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
86,Bhutan,1,+1,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
87,Colombia,1,+1,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
88,Costa Rica,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
89,Gibraltar,1,,,,1,,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
90,Vatican City,1,+1,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
91,Liechtenstein,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
92,Peru,1,+1,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
93,Serbia,1,+1,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
94,Slovakia,1,+1,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
95,South Africa,1,,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
96,Togo,1,+1,,,1,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
97,Total:,101961,3544,3466.0,79.0,42369,56126.0,6401.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
