,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
72,Costa Rica,158,+24,2.0,,2.0,154,2.0,31.0,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
73,Morocco,143,+28,4.0,,5.0,134,1.0,4.0,0.1,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
74,North Macedonia,136,+21,2.0,1.0,1.0,133,1.0,65.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
75,Bosnia and Herzegovina,136,+10,1.0,,2.0,133,1.0,41.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
76,Andorra,133,+20,1.0,,1.0,131,2.0,1721.0,13.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
77,Jordan,127,+15,,,1.0,126,,12.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
78,Vietnam,123,+10,,,17.0,106,2.0,1.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
79,Faeroe Islands,118,+3,,,23.0,95,,2415.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
80,Cyprus,116,+21,1.0,,3.0,112,3.0,96.0,0.8,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
81,Moldova,109,+15,1.0,,2.0,106,3.0,27.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
82,Malta,107,+17,,,2.0,105,1.0,242.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
83,Albania,104,+15,4.0,2.0,2.0,98,2.0,36.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
84,New Zealand,102,,,,,102,,21.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
85,Burkina Faso,99,+24,4.0,,5.0,90,,5.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
86,Sri Lanka,97,+15,,,2.0,95,2.0,5.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
87,Brunei,91,+3,,,2.0,89,2.0,208.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
88,Tunisia,89,+14,3.0,,1.0,85,11.0,8.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
89,Cambodia,87,+3,,,2.0,85,1.0,5.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
90,Venezuela,84,+14,,,15.0,69,2.0,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
91,Belarus,81,+5,,,22.0,59,,9.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
92,Senegal,79,+12,,,8.0,71,,5.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
93,Ukraine,73,,3.0,,1.0,69,,2.0,0.07,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
94,Azerbaijan,72,+7,1.0,,10.0,61,3.0,7.0,0.1,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
95,Réunion,71,+7,,,1.0,70,,79.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
96,Oman,66,+11,,,17.0,49,,13.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
97,Guadeloupe,62,+4,1.0,,,61,4.0,155.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
98,Kazakhstan,62,+2,,,,62,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
99,Georgia,61,+7,,,8.0,53,1.0,15.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
100,Palestine,59,,,,17.0,42,,12.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
101,Cameroon,56,+16,,,2.0,54,,2.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
102,Martinique,53,+9,1.0,,,52,7.0,141.0,3.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
103,Liechtenstein,51,+14,,,,51,,1338.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
104,Trinidad and Tobago,51,+1,,,,51,,36.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
105,Uzbekistan,46,+3,,,,46,,1.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
106,Afghanistan,40,,1.0,,1.0,38,,1.0,0.03,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
107,Cuba,40,+5,1.0,,,39,3.0,4.0,0.09,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
108,Nigeria,40,+10,1.0,1.0,2.0,37,,0.2,0.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
109,DRC,36,+6,2.0,1.0,,34,,0.4,0.02,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
110,Mauritius,36,+8,2.0,,,34,1.0,28.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
111,Channel Islands,36,+4,,,,36,,207.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
112,Rwanda,36,+17,,,,36,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
113,Bangladesh,33,+6,3.0,1.0,5.0,25,,0.2,0.02,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
114,Puerto Rico,31,+8,2.0,1.0,1.0,28,,11.0,0.7,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
115,Honduras,30,+4,,,,30,,3.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
116,Guam,29,+2,1.0,,,28,,172.0,6.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
117,Ghana,27,+4,2.0,1.0,,25,,0.9,0.06,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
118,Montenegro,27,+6,1.0,1.0,,26,,43.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
119,Bolivia,27,+3,,,,27,,2.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
120,Macao,25,+3,,,10.0,15,,39.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
