,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
25,Austria,29,5.0,,,29,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
26,India,29,22.0,,,26,3.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
27,U.A.E.,28,1.0,,,23,5.0,2.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
28,Iceland,26,12.0,,,25,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
29,Belgium,23,8.0,,,22,1.0,1.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
30,Algeria,17,9.0,,,17,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
31,San Marino,16,6.0,1.0,,15,,3.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
32,Vietnam,16,,,,0,16.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
33,Denmark,15,5.0,,,15,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
34,Israel,15,3.0,,,14,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
35,Lebanon,15,2.0,,,15,,1.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
36,Oman,15,3.0,,,13,2.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
37,Macao,10,,,,1,9.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
38,Croatia,10,1.0,,,10,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
39,Ecuador,10,3.0,,,10,,1.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
40,Greece,9,2.0,,,9,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
41,Czechia,8,3.0,,,8,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
42,Qatar,8,,,,8,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
43,Finland,7,,,,6,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
44,Belarus,6,2.0,,,6,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
45,Ireland,6,4.0,,,6,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
46,Mexico,6,,,,5,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
47,Portugal,6,2.0,,,6,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
48,Romania,6,2.0,,,5,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
49,Pakistan,5,,,,5,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
50,Senegal,4,2.0,,,4,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
51,Philippines,3,,1.0,,0,2.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
52,Azerbaijan,3,,,,3,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
53,Brazil,3,1.0,,,3,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
54,Georgia,3,,,,3,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
55,New Zealand,3,1.0,,,3,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
56,Russia,3,,,,1,2.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
57,Chile,3,2.0,,,3,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
58,Egypt,2,,,,1,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
59,Estonia,2,,,,2,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
60,Indonesia,2,,,,2,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
61,Saudi Arabia,2,1.0,,,2,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
62,Hungary,2,2.0,,,2,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
63,Afghanistan,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
64,Andorra,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
65,Armenia,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
66,Cambodia,1,,,,0,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
67,Dominican Republic,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
68,Jordan,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
69,Latvia,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
70,Lithuania,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
71,Luxembourg,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
72,North Macedonia,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
73,Monaco,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
74,Morocco,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
75,Nepal,1,,,,0,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
76,Nigeria,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
77,Sri Lanka,1,,,,0,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
78,Tunisia,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
79,Ukraine,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
80,Argentina,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
81,Liechtenstein,1,,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
82,Poland,1,1.0,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
83,Slovenia,1,1.0,,,1,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
84,Total:,95184,2163.0,3254.0,52.0,40477,51453.0,6883.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
