,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,ref,date
60,New Zealand,647,+58,1.0,,74.0,572,2.0,134.0,0.2,Feb 27,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
61,Ukraine,645,+97,17.0,+4,10.0,618,,15.0,0.4,Mar 02,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
62,Morocco,617,+61,36.0,+3,24.0,557,1.0,17.0,1.0,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
63,Bahrain,567,+52,4.0,,295.0,268,2.0,333.0,2.0,Feb 23,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
64,Lithuania,537,+46,8.0,+1,7.0,522,27.0,197.0,3.0,Feb 27,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
65,Armenia,532,+50,3.0,,30.0,499,30.0,180.0,1.0,Feb 29,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
66,Hungary,492,+45,16.0,+1,37.0,439,6.0,51.0,2.0,Mar 03,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
67,Lebanon,463,+17,12.0,+1,37.0,414,7.0,68.0,2.0,Feb 20,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
68,Bosnia and Herzegovina,420,+52,13.0,+3,17.0,390,1.0,128.0,4.0,Mar 04,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
69,Bulgaria,399,+40,8.0,,17.0,374,14.0,57.0,1.0,Mar 06,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
70,Latvia,398,+22,,,1.0,397,3.0,211.0,,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
71,Tunisia,394,+32,10.0,+1,3.0,381,10.0,33.0,0.8,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
72,Andorra,376,+6,12.0,+4,10.0,354,12.0,4866.0,155.0,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
73,Slovakia,363,+27,,,3.0,360,1.0,66.0,,Mar 05,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
74,Moldova,353,+55,4.0,+2,18.0,331,44.0,88.0,1.0,Mar 06,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
75,Costa Rica,347,+17,2.0,,4.0,341,8.0,68.0,0.4,Mar 04,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
76,Kazakhstan,343,+41,2.0,+1,24.0,317,6.0,18.0,0.1,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
77,Uruguay,338,+18,1.0,,41.0,296,12.0,97.0,0.3,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
78,North Macedonia,329,+44,9.0,+2,12.0,308,4.0,158.0,4.0,Feb 25,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
79,Taiwan,322,+16,5.0,,39.0,278,,14.0,0.2,Jan 20,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
80,Azerbaijan,298,+25,5.0,+1,26.0,267,11.0,29.0,0.5,Feb 27,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
81,Kuwait,289,+23,,,73.0,216,13.0,68.0,,Feb 23,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
82,Jordan,274,+6,5.0,,30.0,239,5.0,27.0,0.5,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
83,Cyprus,262,+32,8.0,+1,23.0,231,3.0,217.0,7.0,Mar 08,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
84,Burkina Faso,261,+15,14.0,+2,32.0,215,,12.0,0.7,Mar 08,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
85,Réunion,247,+23,,,1.0,246,4.0,276.0,,Mar 10,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
86,Albania,243,+20,15.0,+4,52.0,176,8.0,84.0,5.0,Mar 07,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
87,San Marino,236,+6,26.0,+1,13.0,197,16.0,6955.0,766.0,Feb 26,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
88,Vietnam,212,+8,,,58.0,154,3.0,2.0,,Jan 22,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
89,Cameroon,193,+54,6.0,,5.0,182,,7.0,0.2,Mar 05,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
90,Oman,192,+13,1.0,+1,34.0,157,3.0,38.0,0.2,Feb 23,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
91,Cuba,186,+16,6.0,+2,8.0,172,3.0,16.0,0.5,Mar 10,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
92,Ivory Coast,179,+11,1.0,,7.0,171,,7.0,0.04,Mar 10,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
93,Senegal,175,+13,,,40.0,135,,10.0,,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
94,Afghanistan,174,+4,4.0,,5.0,165,,4.0,0.1,Feb 23,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
95,Uzbekistan,172,+23,2.0,,7.0,163,8.0,5.0,0.06,Mar 14,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
96,Faeroe Islands,169,+1,,,74.0,95,3.0,3459.0,,Mar 03,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
97,Malta,169,+13,,,2.0,167,2.0,383.0,,Mar 06,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
98,Ghana,161,+9,5.0,,31.0,125,1.0,5.0,0.2,Mar 11,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
99,Belarus,152,,1.0,+1,47.0,104,2.0,16.0,0.1,Feb 27,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
100,Mauritius,143,+15,5.0,+2,,138,1.0,112.0,4.0,Mar 17,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
101,Sri Lanka,143,+21,2.0,,17.0,124,5.0,7.0,0.09,Jan 26,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
102,Honduras,141,+2,7.0,,3.0,131,4.0,14.0,0.7,Mar 10,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
103,Channel Islands,141,,3.0,+1,,138,,811.0,17.0,Mar 08,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
104,Venezuela,135,,3.0,,39.0,93,6.0,5.0,0.1,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
105,Nigeria,135,+4,2.0,,8.0,125,,0.7,0.01,Feb 27,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
106,Brunei,129,+2,1.0,,45.0,83,3.0,295.0,2.0,Mar 08,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
107,Martinique,128,+35,3.0,+2,27.0,98,15.0,341.0,8.0,Mar 04,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
108,Palestine,119,+2,1.0,,18.0,100,,23.0,0.2,Mar 04,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
109,Guadeloupe,114,+8,4.0,,22.0,88,14.0,285.0,10.0,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
110,Georgia,110,+7,,,21.0,89,6.0,28.0,,Feb 25,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
111,Montenegro,109,+18,2.0,+1,,107,1.0,174.0,3.0,Mar 16,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
112,Cambodia,109,+2,,,23.0,86,1.0,7.0,,Jan 26,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
113,Bolivia,107,+10,6.0,+2,,101,3.0,9.0,0.5,Mar 09,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
114,Kyrgyzstan,107,+13,,,3.0,104,,16.0,,Mar 17,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
115,DRC,98,+17,8.0,,2.0,88,,1.0,0.09,Mar 09,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
116,Mayotte,94,+12,1.0,+1,10.0,83,3.0,345.0,4.0,Mar 13,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
117,Trinidad and Tobago,87,+4,3.0,,1.0,83,,62.0,2.0,Mar 11,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
118,Rwanda,75,+5,,,,75,,6.0,,Mar 13,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
119,Gibraltar,69,,,,34.0,35,,2048.0,,Mar 02,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
120,Liechtenstein,68,+6,,,,68,,1783.0,,Mar 02,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
121,Paraguay,65,+1,3.0,,1.0,61,3.0,9.0,0.4,Mar 06,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
122,Isle of Man,60,+11,,,,60,,706.0,,Mar 18,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
123,Kenya,59,+9,1.0,,1.0,57,2.0,1.0,0.02,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
124,Madagascar,57,+14,,,,57,6.0,2.0,,Mar 19,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
125,Aruba,55,+5,,,1.0,54,,515.0,,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
126,Monaco,52,+3,1.0,,2.0,49,,1325.0,25.0,Feb 27,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
127,Bangladesh,51,+2,5.0,,25.0,21,1.0,0.3,0.03,Mar 07,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
128,French Guiana,51,+8,,,15.0,36,,171.0,,Mar 06,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
129,Uganda,44,+11,,,,44,,1.0,,Mar 20,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
130,Macao,41,+3,,,10.0,31,,63.0,,Jan 21,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
131,Jamaica,38,+2,2.0,+1,2.0,34,,13.0,0.7,Mar 09,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
132,Guatemala,38,+2,1.0,,12.0,25,1.0,2.0,0.06,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
133,French Polynesia,37,+1,,,,37,1.0,132.0,,Mar 10,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
134,Zambia,36,+1,,,,36,,2.0,,Mar 17,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
135,Niger,34,+7,3.0,,,31,,1.0,0.1,Mar 18,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
136,Togo,34,+4,1.0,,10.0,23,,4.0,0.1,Mar 05,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
137,Barbados,34,+1,,,,34,,118.0,,Mar 16,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
138,El Salvador,32,+2,1.0,+1,,31,5.0,5.0,0.2,Mar 18,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
139,Bermuda,32,+5,,,10.0,22,,514.0,,Mar 17,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
140,Djibouti,30,+12,,,,30,,30.0,,Mar 17,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
141,Mali,28,+3,2.0,,,26,,1.0,0.1,Mar 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
142,Ethiopia,26,+3,,,2.0,24,2.0,0.2,,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
143,Guinea,22,,,,,22,,2.0,,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
144,Tanzania,19,,1.0,+1,1.0,17,,0.3,0.02,Mar 15,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
145,Congo,19,,,,,19,,3.0,,Mar 14,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
146,Maldives,18,+1,,,13.0,5,,33.0,,Mar 06,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
147,Gabon,16,+9,1.0,,,15,,7.0,0.4,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
148,New Caledonia,16,+1,,,,16,,56.0,,Mar 17,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
149,Myanmar,15,+1,1.0,+1,,14,,0.3,0.02,Mar 22,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
150,Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
151,Equatorial Guinea,15,+3,,,1.0,14,,11.0,,Mar 13,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
152,Eritrea,15,,,,,15,,4.0,,Mar 20,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
153,Haiti,15,,,,1.0,14,,1.0,,Mar 19,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
154,Cayman Islands,14,+2,1.0,,,13,,213.0,15.0,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
155,Bahamas,14,,,,1.0,13,,36.0,,Mar 14,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
156,Saint Lucia,13,+4,,,1.0,12,,71.0,,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
157,Guyana,12,+4,2.0,+1,,10,,15.0,3.0,Mar 11,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
158,Dominica,12,,,,,12,,167.0,,Mar 21,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
159,Mongolia,12,,,,2.0,10,,4.0,,Mar 09,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
160,Curaçao,11,,1.0,,2.0,8,,67.0,6.0,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
161,Namibia,11,,,,2.0,9,,4.0,,Mar 13,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
162,Syria,10,,2.0,,,8,,0.6,0.1,Mar 21,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
