,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
148,Sint Maarten,23,+5,4.0,+3,6.0,13,,536.0,93.0,82.0,1912.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
149,Congo,22,,2.0,,2.0,18,,4.0,0.4,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
150,Saint Martin,22,,1.0,,2.0,19,,569.0,26.0,18.0,466.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
151,Eritrea,22,,,,,22,,6.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
152,Gabon,21,,1.0,,1.0,19,,9.0,0.4,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
153,Myanmar,20,,1.0,,,19,,0.4,0.02,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
154,Tanzania,20,,1.0,,3.0,16,,0.3,0.02,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
155,Maldives,19,,,,13.0,6,,35.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
156,Haiti,18,+2,,,1.0,17,,2.0,,200.0,18.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
157,New Caledonia,18,,,,1.0,17,,63.0,,1390.0,4869.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
158,Libya,17,+6,1.0,,,16,,2.0,0.1,131.0,19.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
159,Syria,16,,2.0,,,14,,0.9,0.1,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
160,Benin,16,+3,,,2.0,14,,1.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
161,Equatorial Guinea,16,+1,,,1.0,15,,11.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
162,Antigua and Barbuda,15,+6,,,,15,1.0,153.0,,9.0,92.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
163,Guinea-Bissau,15,+6,,,,15,,8.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
164,Dominica,14,+2,,,,14,,194.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
165,Mongolia,14,,,,2.0,12,,4.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
166,Namibia,14,,,,3.0,11,,6.0,,301.0,118.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
167,Saint Lucia,13,,,,1.0,12,,71.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
168,Grenada,12,+2,,,,12,2.0,107.0,,45.0,400.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
169,Curaçao,11,,1.0,,3.0,7,,67.0,6.0,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
170,Sudan,10,+2,2.0,,2.0,6,,0.2,0.05,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
171,Suriname,10,,1.0,+1,,9,,17.0,2.0,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
172,Greenland,10,,,,3.0,7,,176.0,,542.0,9547.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
173,Laos,10,,,,,10,,1.0,,437.0,60.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
174,Mozambique,10,,,,,10,,0.3,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
175,Seychelles,10,,,,,10,,102.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
176,MS Zaandam,9,,2.0,,,7,,,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
177,Zimbabwe,9,,1.0,,,8,,0.6,0.07,316.0,21.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
178,Saint Kitts and Nevis,9,,,,,9,,169.0,,113.0,2124.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
179,Eswatini,9,,,,,9,,8.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
180,Angola,8,,2.0,,1.0,5,,0.2,0.06,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
181,CAR,8,+5,,,,8,,2.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
182,Chad,8,,,,,8,,0.5,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
183,Fiji,7,,,,,7,,8.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
184,Vatican City,7,,,,,7,,8739.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
185,Liberia,7,+1,,,,7,,1.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
186,St. Vincent Grenadines,7,+5,,,1.0,6,,63.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
187,Somalia,7,+2,,,1.0,6,,0.4,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
188,Cabo Verde,6,,1.0,,,5,,11.0,2.0,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
189,Mauritania,6,,1.0,,2.0,3,,1.0,0.2,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
190,Nepal,6,,,,1.0,5,,0.2,,1184.0,41.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
191,Montserrat,6,+1,,,,6,,1202.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
192,St. Barth,6,,,,1.0,5,,607.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
193,Nicaragua,5,,1.0,,,4,,0.8,0.2,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
194,Bhutan,5,,,,2.0,3,,6.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
195,Turks and Caicos,5,,,,,5,,129.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
196,Botswana,4,,1.0,,,3,,2.0,0.4,175.0,74.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
197,Gambia,4,,1.0,,2.0,1,,2.0,0.4,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
198,Belize,4,+1,,,,4,,10.0,,25.0,63.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
199,Anguilla,3,,,,,3,,200.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
200,British Virgin Islands,3,,,,,3,,99.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
201,Burundi,3,,,,,3,,0.3,,2.0,0.2,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
202,Malawi,3,,,,,3,,0.2,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
203,Caribbean Netherlands,2,,,,,2,,76.0,,10.0,381.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
204,Sierra Leone,2,,,,,2,,0.3,,2.0,0.3,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
205,Falkland Islands,1,+1,,,,1,,287.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
206,Papua New Guinea,1,,,,,1,,0.1,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
207,Timor-Leste,1,,,,,1,,0.8,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
208,Total:,1116662,"+101,566",59174.0,"+5,997",228589.0,828899,39391.0,143.3,7.6,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
