date,amount,amountVirusDiagnosis,positiveAmount,lastUpdate
2020-07-02T00:00:00.000Z,25039,24264,1139,2020-07-26T07:34:22.503Z
2020-07-03T00:00:00.000Z,20950,20464,938,2020-07-26T07:34:22.503Z
2020-07-04T00:00:00.000Z,17306,16699,819,2020-07-26T07:34:22.503Z
2020-07-05T00:00:00.000Z,21093,20261,829,2020-07-26T07:34:22.503Z
2020-07-06T00:00:00.000Z,25592,24744,1132,2020-07-26T07:34:22.503Z
2020-07-07T00:00:00.000Z,28594,27661,1384,2020-07-26T07:34:22.503Z
2020-07-08T00:00:00.000Z,29385,28561,1321,2020-07-26T07:34:22.503Z
2020-07-09T00:00:00.000Z,30044,28958,1520,2020-07-26T07:34:22.503Z
2020-07-10T00:00:00.000Z,25764,24707,1404,2020-07-26T07:34:22.503Z
2020-07-11T00:00:00.000Z,20427,19208,1161,2020-07-26T07:34:22.503Z
2020-07-12T00:00:00.000Z,21733,20267,1239,2020-07-26T07:34:22.503Z
2020-07-13T00:00:00.000Z,29283,27514,1716,2020-07-26T07:34:22.503Z
2020-07-14T00:00:00.000Z,31739,29971,1602,2020-07-26T07:34:22.503Z
2020-07-15T00:00:00.000Z,30680,27909,1873,2020-07-26T07:34:22.503Z
2020-07-16T00:00:00.000Z,31065,28444,1930,2020-07-26T07:34:22.503Z
2020-07-17T00:00:00.000Z,25706,23553,1594,2020-07-26T07:34:22.503Z
2020-07-18T00:00:00.000Z,20464,18222,1440,2020-07-26T07:34:22.503Z
2020-07-19T00:00:00.000Z,19817,17788,1007,2020-07-26T07:34:22.503Z
2020-07-20T00:00:00.000Z,27493,24396,1878,2020-07-26T07:34:22.503Z
2020-07-21T00:00:00.000Z,30170,26765,1997,2020-07-26T07:34:22.503Z
2020-07-22T00:00:00.000Z,28716,25624,2032,2020-07-26T07:34:22.503Z
2020-07-23T00:00:00.000Z,31871,28722,1926,2020-07-26T07:34:22.503Z
2020-07-24T00:00:00.000Z,23951,22260,1782,2020-07-26T07:34:22.503Z
2020-07-25T00:00:00.000Z,15476,14621,1108,2020-07-26T07:34:22.503Z
2020-07-26T00:00:00.000Z,1451,1325,122,2020-07-26T07:34:22.503Z
