יישוב,pop2018,סוג מידע,value,date,StringencyIndex,last_updated
לקיה,14695.0,מספר נבדקים,98.0,2020-04-21,1.0,2020-05-31
טורעאן,14398.0,מספר נבדקים,140.0,2020-04-21,1.0,2020-05-31
אעבלין,13062.0,מספר נבדקים,138.0,2020-04-21,1.0,2020-05-31
בית ג'ן,11757.0,מספר נבדקים,110.0,2020-04-21,1.0,2020-05-31
שגב-שלום,10310.0,מספר נבדקים,45.0,2020-04-21,1.0,2020-05-31
אעצם (שבט),10149.0,מספר נבדקים,25.0,2020-04-21,1.0,2020-05-31
אבו רוקייק (שבט),9696.0,מספר נבדקים,28.0,2020-04-21,1.0,2020-05-31
משהד,8649.0,מספר נבדקים,70.0,2020-04-21,1.0,2020-05-31
זרזיר,8385.0,מספר נבדקים,67.0,2020-04-21,1.0,2020-05-31
אבו קורינאת (שבט),6235.0,מספר נבדקים,14.0,2020-04-21,1.0,2020-05-31
כעביה-טבאש-חג'אג'רה,5780.0,מספר נבדקים,48.0,2020-04-21,1.0,2020-05-31
בני ברק,195298.0,מספר חולים מאומתים,2349.0,2020-04-21,1.0,2020-05-31
דייר אל-אסד,12435.0,מספר חולים מאומתים,99.0,2020-04-21,1.0,2020-05-31
אלעד,46760.0,מספר חולים מאומתים,321.0,2020-04-21,1.0,2020-05-31
כוכב יעקב,8602.0,מספר חולים מאומתים,59.0,2020-04-21,1.0,2020-05-31
קרית יערים,5713.0,מספר חולים מאומתים,39.0,2020-04-21,1.0,2020-05-31
"כפר חב""ד",6724.0,מספר חולים מאומתים,45.0,2020-04-21,1.0,2020-05-31
אפרת,10676.0,מספר חולים מאומתים,64.0,2020-04-21,1.0,2020-05-31
מצפה רמון,4991.0,מספר חולים מאומתים,24.0,2020-04-21,1.0,2020-05-31
ביתר עילית,59240.0,מספר חולים מאומתים,233.0,2020-04-21,1.0,2020-05-31
מודיעין עילית,73808.0,מספר חולים מאומתים,288.0,2020-04-21,1.0,2020-05-31
מגדל העמק,26058.0,מספר חולים מאומתים,101.0,2020-04-21,1.0,2020-05-31
אור יהודה,34843.0,מספר חולים מאומתים,131.0,2020-04-21,1.0,2020-05-31
טבריה,44353.0,מספר חולים מאומתים,153.0,2020-04-21,1.0,2020-05-31
רכסים,11841.0,מספר חולים מאומתים,38.0,2020-04-21,1.0,2020-05-31
ירושלים,914559.0,מספר חולים מאומתים,2672.0,2020-04-21,1.0,2020-05-31
דבוריה,10414.0,מספר חולים מאומתים,28.0,2020-04-21,1.0,2020-05-31
בית שמש,120812.0,מספר חולים מאומתים,319.0,2020-04-21,1.0,2020-05-31
ג'סר א-זרקא,14732.0,מספר חולים מאומתים,38.0,2020-04-21,1.0,2020-05-31
אזור,11819.0,מספר חולים מאומתים,30.0,2020-04-21,1.0,2020-05-31
קרית מלאכי,23691.0,מספר חולים מאומתים,59.0,2020-04-21,1.0,2020-05-31
יהוד,29104.0,מספר חולים מאומתים,70.0,2020-04-21,1.0,2020-05-31
פקיעין (בוקייעה),5851.0,מספר חולים מאומתים,13.0,2020-04-21,1.0,2020-05-31
בית אריה,4981.0,מספר חולים מאומתים,11.0,2020-04-21,1.0,2020-05-31
קצרין,7373.0,מספר חולים מאומתים,16.0,2020-04-21,1.0,2020-05-31
בענה,8355.0,מספר חולים מאומתים,18.0,2020-04-21,1.0,2020-05-31
בית אל,5767.0,מספר חולים מאומתים,12.0,2020-04-21,1.0,2020-05-31
אבן יהודה,13263.0,מספר חולים מאומתים,27.0,2020-04-21,1.0,2020-05-31
גני תקווה,18930.0,מספר חולים מאומתים,38.0,2020-04-21,1.0,2020-05-31
צפת,35671.0,מספר חולים מאומתים,71.0,2020-04-21,1.0,2020-05-31
שוהם,20041.0,מספר חולים מאומתים,39.0,2020-04-21,1.0,2020-05-31
ג'ת,11910.0,מספר חולים מאומתים,23.0,2020-04-21,1.0,2020-05-31
גבעת זאב,18510.0,מספר חולים מאומתים,35.0,2020-04-21,1.0,2020-05-31
גבע בנימין,5299.0,מספר חולים מאומתים,10.0,2020-04-21,1.0,2020-05-31
נתיבות,36511.0,מספר חולים מאומתים,67.0,2020-04-21,1.0,2020-05-31
אשקלון,139032.0,מספר חולים מאומתים,251.0,2020-04-21,1.0,2020-05-31
קרית ארבע,7364.0,מספר חולים מאומתים,13.0,2020-04-21,1.0,2020-05-31
זכרון יעקב,22341.0,מספר חולים מאומתים,38.0,2020-04-21,1.0,2020-05-31
גבעת שמואל,24538.0,מספר חולים מאומתים,39.0,2020-04-21,1.0,2020-05-31
שבלי - אום אל-גנם,6367.0,מספר חולים מאומתים,10.0,2020-04-21,1.0,2020-05-31
קרית אונו,37112.0,מספר חולים מאומתים,53.0,2020-04-21,1.0,2020-05-31
אופקים,30185.0,מספר חולים מאומתים,43.0,2020-04-21,1.0,2020-05-31
