תאריך,סך בדיקות לגילוי קורונה,מספר מאומתים,מספר חולים מאושפזים,מספר חולים במצב קשה,מספר מונשמים,מספר נפטרים,בדיקות ביממה האחרונה,בדיקות חיוביות ראשונות,מספר מאומתים שהתווספו היום,מספר חולים במצב קל,מספר חולים במצב בינוני,מספר מחלימים,מספר חולים בבית
2020-02-20,422.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-21,450.0,1.0,2.0,0.0,0.0,0.0,,,,,,,
2020-02-22,472.0,1.0,2.0,0.0,0.0,0.0,,,,,,,
2020-02-23,528.0,1.0,2.0,0.0,0.0,0.0,,,,,,,
2020-02-24,606.0,2.0,2.0,0.0,0.0,0.0,,,,,,,
2020-02-25,713.0,2.0,2.0,0.0,0.0,0.0,,,,,,,
2020-02-26,821.0,2.0,2.0,0.0,0.0,0.0,,,,,,,
2020-02-27,992.0,3.0,3.0,0.0,0.0,0.0,,,,,,,
2020-02-28,1110.0,6.0,5.0,0.0,0.0,0.0,,,,,,,
2020-02-29,1270.0,6.0,5.0,0.0,0.0,0.0,,,,,,,
2020-03-01,1460.0,7.0,7.0,0.0,0.0,0.0,,,,,,,
2020-03-02,1631.0,12.0,11.0,0.0,0.0,0.0,,,,,,,
2020-03-03,1865.0,15.0,11.0,0.0,0.0,0.0,,,,,,,
2020-03-04,1994.0,15.0,11.0,0.0,0.0,0.0,,,,,,,
2020-03-05,2167.0,17.0,13.0,1.0,0.0,0.0,,,,,,,
2020-03-06,2442.0,27.0,16.0,2.0,1.0,0.0,,,,,,,
2020-03-07,2780.0,31.0,19.0,3.0,2.0,0.0,,,,,,,
2020-03-08,3202.0,40.0,26.0,5.0,4.0,0.0,,,,,,,
2020-03-09,3721.0,44.0,40.0,6.0,5.0,0.0,,,,,,,
2020-03-10,4242.0,77.0,59.0,6.0,5.0,0.0,,,,,,,
2020-03-11,4645.0,96.0,81.0,7.0,6.0,0.0,,,,,,,
2020-03-12,5252.0,117.0,103.0,7.0,6.0,0.0,,,,,,,
2020-03-13,5948.0,152.0,123.0,7.0,6.0,0.0,,,,,,,
2020-03-14,6561.0,183.0,161.0,6.0,4.0,0.0,,,,,,,
2020-03-15,7745.0,221.0,201.0,9.0,6.0,0.0,,,,,,,
2020-03-16,9090.0,294.0,221.0,11.0,7.0,0.0,,,,,,,
2020-03-17,10747.0,389.0,257.0,12.0,7.0,0.0,,,,,,,
2020-03-18,12866.0,508.0,306.0,16.0,7.0,0.0,,,,,,,
2020-03-19,14947.0,645.0,295.0,21.0,12.0,0.0,,,,,,,
2020-03-20,17272.0,815.0,288.0,23.0,12.0,1.0,,,,,,,
2020-03-21,19369.0,1023.0,276.0,27.0,15.0,1.0,,,,,,,
2020-03-22,22705.0,1272.0,323.0,37.0,22.0,1.0,,,,,,,
2020-03-23,26335.0,1620.0,350.0,42.0,24.0,1.0,,,,,,,
2020-03-24,31118.0,2043.0,393.0,45.0,26.0,4.0,,,,,,,
2020-03-25,37044.0,2467.0,412.0,48.0,27.0,5.0,,,,,,,
2020-03-26,43555.0,2993.0,464.0,54.0,31.0,10.0,,,,,,,
2020-03-27,49299.0,3429.0,515.0,65.0,36.0,12.0,,,,,,,
2020-03-28,55010.0,3912.0,512.0,69.0,39.0,12.0,,,,,,,
2020-03-29,62574.0,4448.0,541.0,77.0,50.0,15.0,,,,,,,
2020-03-30,69665.0,4995.0,617.0,86.0,55.0,16.0,,,,,,,
2020-03-31,77625.0,5726.0,665.0,97.0,64.0,20.0,,,,,,,
2020-04-01,86606.0,6422.0,767.0,110.0,72.0,28.0,,,,,,,
2020-04-02,96823.0,7144.0,811.0,112.0,79.0,38.0,,,,,,,
2020-04-03,107148.0,7741.0,800.0,128.0,92.0,43.0,,,,,,,
2020-04-04,113664.0,8169.0,786.0,138.0,107.0,49.0,,,,,,,
2020-04-05,123107.0,8748.0,823.0,134.0,106.0,55.0,,,,,,,
2020-04-06,130603.0,9199.0,806.0,146.0,110.0,62.0,,,,,,,
2020-04-07,137531.0,9578.0,743.0,158.0,106.0,69.0,,,,,,,
2020-04-08,143401.0,9917.0,690.0,164.0,114.0,78.0,,,,,,,
2020-04-09,149149.0,10261.0,663.0,165.0,117.0,87.0,,,,,,,
2020-04-10,156476.0,10621.0,666.0,169.0,128.0,95.0,,,,,,,
2020-04-11,163167.0,10966.0,623.0,182.0,130.0,101.0,,,,,,,
2020-04-12,173789.0,11525.0,664.0,176.0,130.0,108.0,,,,,,,
2020-04-13,184748.0,11968.0,684.0,192.0,137.0,116.0,,,,,,,
2020-04-14,197411.0,12370.0,672.0,178.0,135.0,124.0,,,,,,,
2020-04-15,206861.0,12680.0,670.0,179.0,132.0,137.0,,,,,,,
2020-04-16,219645.0,12981.0,703.0,182.0,136.0,144.0,,,,,,,
2020-04-17,231206.0,13279.0,662.0,165.0,125.0,153.0,,,,,,,
2020-04-18,241836.0,13589.0,642.0,173.0,117.0,164.0,,,,,,,
2020-04-19,253299.0,13870.0,619.0,156.0,117.0,172.0,,,,,,,
2020-04-20,268646.0,14171.0,614.0,153.0,122.0,178.0,,,,,,,
2020-04-21,282231.0,14460.0,543.0,143.0,117.0,187.0,,,,,,,
2020-04-22,295525.0,14686.0,532.0,147.0,108.0,190.0,,,,,,,
2020-04-23,309683.0,14966.0,491.0,143.0,112.0,194.0,,,,,,,
2020-04-24,322296.0,15221.0,454.0,140.0,104.0,197.0,,,,,,,
2020-04-25,331374.0,15381.0,432.0,133.0,104.0,200.0,,,,,,,
2020-04-26,339841.0,15469.0,441.0,139.0,109.0,202.0,,,,,,,
2020-04-27,350860.0,15584.0,410.0,130.0,99.0,206.0,,,,,,,
2020-04-28,361501.0,15752.0,391.0,125.0,98.0,211.0,,,,,,,
2020-04-29,370505.0,15835.0,370.0,118.0,93.0,217.0,,,,,,,
2020-04-30,380339.0,15979.0,371.0,110.0,87.0,223.0,,,,,,,
2020-05-01,391104.0,16096.0,348.0,108.0,86.0,227.0,,,,,,,
2020-05-02,396659.0,16153.0,324.0,109.0,87.0,230.0,,,,,,,
2020-05-03,404586.0,16182.0,312.0,94.0,76.0,233.0,,,,,,,
2020-05-04,409515.0,16237.0,291.0,91.0,71.0,236.0,,,,,,,
2020-05-05,423158.0,16253.0,274.0,92.0,71.0,238.0,,,,,,,
2020-05-06,432614.0,16319.0,266.0,89.0,69.0,239.0,,,,,,,
2020-05-07,432453.0,16381.0,,83.0,,240.0,,,71.0,,,10873.0,
2020-05-08,442925.0,16436.0,,78.0,,245.0,,,55.0,,,11229.0,
2020-05-09,451028.0,16454.0,,78.0,,247.0,,,18.0,,,11376.0,
2020-05-10,455267.0,16477.0,,74.0,,252.0,,,23.0,,,11430.0,
2020-05-11,469800.0,16526.0,,67.0,,258.0,,,20.0,,,11956.0,
2020-05-12,469800.0,16529.0,,67.0,,260.0,,,23.0,,,12083.0,
2020-05-14,477151.0,16539.0,191.0,61.0,51.0,262.0,7183.0,27.0,13.0,3913.0,46.0,12173.0,3913.0
