date,amount,lastUpdate
2020-05-27T00:00:00.000Z,107,2020-07-30T03:34:45.407Z
2020-05-28T00:00:00.000Z,157,2020-07-30T03:34:45.407Z
2020-05-29T00:00:00.000Z,43,2020-07-30T03:34:45.407Z
2020-05-30T00:00:00.000Z,35,2020-07-30T03:34:45.407Z
2020-05-31T00:00:00.000Z,63,2020-07-30T03:34:45.407Z
2020-06-01T00:00:00.000Z,117,2020-07-30T03:34:45.407Z
2020-06-02T00:00:00.000Z,61,2020-07-30T03:34:45.407Z
2020-06-03T00:00:00.000Z,55,2020-07-30T03:34:45.407Z
2020-06-04T00:00:00.000Z,84,2020-07-30T03:34:45.407Z
2020-06-05T00:00:00.000Z,56,2020-07-30T03:34:45.407Z
2020-06-06T00:00:00.000Z,53,2020-07-30T03:34:45.407Z
2020-06-07T00:00:00.000Z,69,2020-07-30T03:34:45.407Z
2020-06-08T00:00:00.000Z,58,2020-07-30T03:34:45.407Z
2020-06-09T00:00:00.000Z,67,2020-07-30T03:34:45.407Z
2020-06-10T00:00:00.000Z,86,2020-07-30T03:34:45.407Z
2020-06-11T00:00:00.000Z,90,2020-07-30T03:34:45.407Z
2020-06-12T00:00:00.000Z,85,2020-07-30T03:34:45.407Z
2020-06-13T00:00:00.000Z,58,2020-07-30T03:34:45.407Z
2020-06-14T00:00:00.000Z,47,2020-07-30T03:34:45.407Z
2020-06-15T00:00:00.000Z,86,2020-07-30T03:34:45.407Z
2020-06-16T00:00:00.000Z,52,2020-07-30T03:34:45.407Z
2020-06-17T00:00:00.000Z,72,2020-07-30T03:34:45.407Z
2020-06-18T00:00:00.000Z,94,2020-07-30T03:34:45.407Z
2020-06-19T00:00:00.000Z,72,2020-07-30T03:34:45.407Z
2020-06-20T00:00:00.000Z,62,2020-07-30T03:34:45.407Z
2020-06-21T00:00:00.000Z,45,2020-07-30T03:34:45.407Z
2020-06-22T00:00:00.000Z,109,2020-07-30T03:34:45.407Z
2020-06-23T00:00:00.000Z,133,2020-07-30T03:34:45.407Z
2020-06-24T00:00:00.000Z,72,2020-07-30T03:34:45.407Z
2020-06-25T00:00:00.000Z,138,2020-07-30T03:34:45.407Z
2020-06-26T00:00:00.000Z,140,2020-07-30T03:34:45.407Z
2020-06-27T00:00:00.000Z,99,2020-07-30T03:34:45.407Z
2020-06-28T00:00:00.000Z,110,2020-07-30T03:34:45.407Z
2020-06-29T00:00:00.000Z,200,2020-07-30T03:34:45.407Z
2020-06-30T00:00:00.000Z,132,2020-07-30T03:34:45.407Z
2020-07-01T00:00:00.000Z,133,2020-07-30T03:34:45.407Z
2020-07-02T00:00:00.000Z,163,2020-07-30T03:34:45.407Z
2020-07-03T00:00:00.000Z,148,2020-07-30T03:34:45.407Z
2020-07-04T00:00:00.000Z,162,2020-07-30T03:34:45.407Z
2020-07-05T00:00:00.000Z,172,2020-07-30T03:34:45.407Z
2020-07-06T00:00:00.000Z,185,2020-07-30T03:34:45.407Z
2020-07-07T00:00:00.000Z,189,2020-07-30T03:34:45.407Z
2020-07-08T00:00:00.000Z,146,2020-07-30T03:34:45.407Z
2020-07-09T00:00:00.000Z,211,2020-07-30T03:34:45.407Z
2020-07-10T00:00:00.000Z,218,2020-07-30T03:34:45.407Z
2020-07-11T00:00:00.000Z,233,2020-07-30T03:34:45.407Z
2020-07-12T00:00:00.000Z,292,2020-07-30T03:34:45.407Z
2020-07-13T00:00:00.000Z,353,2020-07-30T03:34:45.407Z
2020-07-14T00:00:00.000Z,350,2020-07-30T03:34:45.407Z
2020-07-15T00:00:00.000Z,450,2020-07-30T03:34:45.407Z
2020-07-16T00:00:00.000Z,532,2020-07-30T03:34:45.407Z
2020-07-17T00:00:00.000Z,509,2020-07-30T03:34:45.407Z
2020-07-18T00:00:00.000Z,610,2020-07-30T03:34:45.407Z
2020-07-19T00:00:00.000Z,460,2020-07-30T03:34:45.407Z
2020-07-20T00:00:00.000Z,929,2020-07-30T03:34:45.407Z
2020-07-21T00:00:00.000Z,1112,2020-07-30T03:34:45.407Z
2020-07-22T00:00:00.000Z,1897,2020-07-30T03:34:45.407Z
2020-07-23T00:00:00.000Z,3345,2020-07-30T03:34:45.407Z
2020-07-24T00:00:00.000Z,706,2020-07-30T03:34:45.407Z
2020-07-25T00:00:00.000Z,415,2020-07-30T03:34:45.407Z
2020-07-26T00:00:00.000Z,1199,2020-07-30T03:34:45.407Z
2020-07-27T00:00:00.000Z,1099,2020-07-30T03:34:45.407Z
2020-07-28T00:00:00.000Z,967,2020-07-30T03:34:45.407Z
2020-07-29T00:00:00.000Z,128,2020-07-30T03:34:45.407Z
2020-07-30T00:00:00.000Z,22,2020-07-30T03:34:45.407Z
