,Country,Total Cases,New Cases,Total Deaths,Region,ref,date,New Deaths,Total Recovered,Serious_Critical,ActiveCases,Tot Cases/1M pop,Tot Deaths/1M pop,Deaths/1M pop,Reported1st case
303,Sweden,1,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,,,,,,
304,Belgium,1,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,,,,,,
292,U.A.E.,8,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,1,1,,,,,
299,Finland,1,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,1,,,,,,
291,U.K.,8,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,1,,,,,,
283,Taiwan,18,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,1,,,,,,
289,France,11,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,1,,,,,
290,Macao,10,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,1,,,,,,
277,China,44653,2,1113,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,97,4777,8204,,,,,
278,Japan,203,42,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,4,,,,,,
279,Hong Kong,49,7,1,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,,,,,,
281,Thailand,33,1,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,10,1,,,,,
282,S. Korea,28,1,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,4,,,,,,
280,Singapore,47,2,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,9,7,,,,,
284,Malaysia,18,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,3,,,,,,
285,Germany,16,2,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,,,,,,
286,Vietnam,15,1,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,6,,,,,,
287,Australia,15,,,Oceania,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,5,,,,,,
288,USA,13,1,,N.America,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,3,,,,,,
313,Germany,16,,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
316,Australia,15,,,Oceania,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,8,,,,,,
315,USA,15,2,,N.America,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,3,,,,,,
314,Vietnam,16,1,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,7,,,,,,
317,France,11,,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,2,1,,,,,
312,Taiwan,18,,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
305,China,59828,15,1367,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,255,6210,8024,,,,,
310,S. Korea,28,,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,7,,,,,,
309,Thailand,33,,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,12,1,,,,,
308,Hong Kong,53,4,1,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,2,,,,,
307,Singapore,58,11,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,15,8,,,,,
306,Japan,251,49,1,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,1,10,4,,,,,
318,Macao,10,,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,3,,,,,,
311,Malaysia,19,1,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,3,,,,,,
319,U.K.,9,1,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
320,U.A.E.,8,,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,1,,,,,
332,Nepal,1,,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
331,Sweden,1,,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,,,,,,,
330,Belgium,1,,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,,,,,,,
329,Cambodia,1,,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
327,Sri Lanka,1,,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
326,Spain,2,,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,,,,,,,
328,Finland,1,,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
324,Italy,3,,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,,2,,,,,
323,Philippines,3,,1,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,2,,,,,,
322,India,5,2,,Asia,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
321,Canada,7,,,N.America,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,1,,,,,,
325,Russia,2,,,Europe,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,13/02/2020,,2,,,,,,
356,Belgium,1,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,,,,,,,
360,Finland,1,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
359,Sri Lanka,1,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
358,Nepal,1,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
357,Egypt,1,1,,Africa,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,,,,,,,
355,Sweden,1,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,,,,,,,
354,Russia,2,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,2,,,,,,
353,Spain,2,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
352,India,3,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
351,Italy,3,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,,2,,,,,
350,Philippines,3,,1,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,2,,,,,,
361,Cambodia,1,,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,14/02/2020,,1,,,,,,
